,building_id,district_id,vdcmun_id,ward_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq,height_ft_post_eq,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,condition_post_eq,damage_grade,technical_solution_proposed,superstructure,floors_change,height_change
423702,280804030081,28,2802,280204,1,2,8,768,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_engineered,-1,-9
423813,280804031121,28,2802,280204,1,2,14,780,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_engineered,-1,-9
424018,280804090041,28,2802,280204,1,2,4,600,9,18,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_engineered,-1,-9
424033,280804090191,28,2802,280204,1,2,4,600,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_rc_engineered,-1,-9
424259,280805020791,28,2802,280205,1,8,1,424,8,8,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_non_engineered,-7,0
424728,280805090681,28,2802,280205,1,2,2,155,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,-9
425127,280806040331,28,2802,280206,2,3,42,666,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Reconstruction,has_superstructure_adobe_mud,-1,0
425572,280807020562,28,2802,280205,2,3,9,400,16,21,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-5
426895,280809011761,28,2802,280209,1,2,12,961,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,-9
429194,280909000181,28,2813,281301,2,3,22,351,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
431908,281205000351,28,2804,280407,1,2,16,594,15,15,Steep slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-1,0
436482,281703011251,28,2808,280803,1,2,6,140,9,9,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
437993,281803001161,28,2801,280105,3,6,30,420,21,21,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
438341,281805001021,28,2801,280104,2,3,12,300,12,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,-6
438459,281806000951,28,2801,280105,2,3,3,400,19,19,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,0
442114,282107001051,28,2803,280302,2,3,25,550,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
446680,282504000081,28,2801,280108,1,2,15,621,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
449007,282701001471,28,2804,280404,1,2,1,630,10,20,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
455082,283105000951,28,2802,280203,1,2,22,650,10,20,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-10
456460,283203010142,28,2812,281203,3,9,58,450,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-6,0
463174,283709000671,28,2810,281002,2,5,15,380,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
473048,284501000451,28,2801,280107,1,2,1,950,45,45,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,0
473058,284501000551,28,2801,280107,1,2,12,850,12,25,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-13
473064,284501000611,28,2801,280107,1,2,12,750,16,32,Moderate slope,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,-16
474095,284509001741,28,2801,280107,2,3,1,648,18,27,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
474098,284509001762,28,2801,280107,2,3,1,812,18,27,Flat,Mud mortar-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
480320,285302001031,28,2812,281204,3,6,9,460,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-3,0
481840,285504000561,28,2807,280703,2,3,67,221,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
484424,285707000201,28,2813,281303,1,2,1,380,8,16,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Square,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-8
488157,286004001191,28,2809,280904,3,6,15,315,18,18,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
489005,286102000772,28,2802,280207,1,2,7,700,9,18,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-9
489934,286106001281,28,2802,280208,1,2,2,830,12,21,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_cement_mortar_stone,-1,-9
490828,286205000091,28,2812,281201,2,5,25,450,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
493275,290305000511,29,2901,290105,1,8,16,251,8,8,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Timber,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_stone_flag,-7,0
493277,290305000531,29,2901,290105,1,2,1,545,12,18,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Timber,Timber-Planck,Not attached,L-shape,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_stone_flag,-1,-6
494485,290505000911,29,2902,290206,2,3,10,1040,20,30,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_stone,-1,-10
494491,290505000971,29,2902,290206,2,3,1,750,20,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_stone,-1,-10
494492,290505000981,29,2902,290206,3,4,2,900,30,40,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_stone,-1,-10
497627,290908001211,29,2903,290305,1,2,1,450,9,18,Flat,RC,Bamboo/Timber-Light roof,RC,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-9
497902,291001000211,29,2905,290505,2,3,12,949,18,27,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
499177,291009000362,29,2905,290505,1,3,2,334,9,27,Steep slope,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-2,-18
499207,291009000631,29,2905,290505,2,3,2,1081,18,27,Moderate slope,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
507040,300208020561,30,3004,300407,1,2,8,1200,18,18,Moderate slope,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_stone,-1,0
507985,300209022991,30,3004,300406,2,3,19,344,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
511100,300408001681,30,3001,300105,1,2,14,450,12,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Damaged-Used in risk,Grade 2,Major repair,has_superstructure_rc_non_engineered,-1,-12
511280,300408003271,30,3001,300105,1,2,0,750,12,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Square,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-12
511465,300409001171,30,3001,300103,2,3,15,225,16,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 5,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
511535,300409001871,30,3001,300103,2,3,25,230,16,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-1,0
512979,300506001001,30,3012,301202,1,2,3,610,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-9
513910,300509010621,30,3012,301201,2,3,35,422,30,30,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Square,Damaged-Not used,Grade 2,Major repair,has_superstructure_mud_mortar_stone,-1,0
516040,300704011091,30,3006,300607,2,3,6,320,12,12,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_adobe_mud,-1,0
516653,300707020331,30,3006,300606,3,6,32,265,17,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,0
525041,301301010981,30,3003,300301,1,3,0,1000,10,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-2,-20
525100,301301011531,30,3003,300301,1,2,4,750,20,20,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,0
525132,301301011851,30,3003,300301,2,3,5,500,27,27,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Minor repair,has_superstructure_cement_mortar_brick,-1,0
525285,301301013311,30,3003,300301,2,3,5,400,18,27,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Multi-projected,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-9
525313,301301013532,30,3003,300301,1,2,20,400,10,20,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_cement_mortar_stone,-1,-10
525323,301301013631,30,3003,300301,2,3,1,400,20,30,Moderate slope,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
525324,301301013641,30,3003,300301,1,3,0,155,10,30,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-2,-20
525350,301301013871,30,3003,300301,2,3,1,450,20,30,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
525365,301301014011,30,3003,300301,4,5,5,750,40,40,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,0
525424,301301014481,30,3003,300301,2,3,4,350,20,30,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,-10
525449,301301014701,30,3003,300301,1,3,0,450,10,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-2,-20
525454,301301014751,30,3003,300301,2,3,1,1100,20,30,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
525463,301301014821,30,3003,300301,2,3,1,400,20,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
525969,301302001211,30,3003,300302,1,6,0,210,6,6,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_timber,-5,0
526148,301302002991,30,3003,300302,1,2,6,280,18,18,Flat,RC,RCC/RB/RBC,RC,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,0
526244,301302010101,30,3003,300302,3,4,5,400,30,40,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,-10
526269,301302010341,30,3003,300302,4,5,22,620,40,40,Moderate slope,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_cement_mortar_brick,-1,0
526446,301304000591,30,3003,300302,1,7,12,306,7,7,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-6,0
526855,301306001621,30,3003,300303,1,2,1,220,6,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,-6
527081,301308000951,30,3003,300302,2,5,15,210,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_adobe_mud,-3,0
527182,301308001961,30,3003,300302,2,5,92,295,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_adobe_mud,-3,0
527239,301309000041,30,3003,300303,2,5,25,230,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_adobe_mud,-3,0
527267,301309000311,30,3003,300303,1,2,3,120,6,10,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 5,Reconstruction,has_superstructure_adobe_mud,-1,-4
527307,301309000711,30,3003,300303,2,5,7,125,8,8,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_adobe_mud,-3,0
527790,301403000291,30,3004,300408,2,8,8,289,16,9,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_adobe_mud,-6,7
534805,301806000221,30,3001,300109,1,2,2,350,14,14,Moderate slope,Bamboo/Timber,Bamboo/Timber-Light roof,Brick/Stone,Not applicable,Not attached,Others,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
536518,301905010321,30,3009,300910,1,2,13,113,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
538792,302004001511,30,3004,300402,2,3,50,252,20,20,Steep slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
541569,302107001651,30,3008,300805,2,5,2,285,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-3,0
542070,302201000521,30,3012,301209,1,2,1,868,8,16,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-8
542137,302201001111,30,3012,301209,1,2,2,326,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
542455,302204000182,30,3012,301210,1,2,7,306,7,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,-5
545199,302309000011,30,3009,300901,2,3,20,350,17,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 5,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
545885,302403001341,30,3006,300605,1,4,1,155,10,40,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-3,-30
546338,302406001201,30,3006,300605,2,5,7,190,12,12,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-3,0
546764,302501000441,30,3003,300308,2,3,20,250,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
547783,302507000661,30,3003,300307,2,3,40,420,28,28,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
549623,302606000301,30,3011,301107,1,2,10,200,9,18,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_stone,-1,-9
552090,302801000041,30,3001,300102,1,2,0,450,8,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,-8
555988,302909001801,30,3006,300601,2,5,10,190,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_mud_mortar_stone,-3,0
557456,303101010241,30,3013,301303,1,8,10,176,8,8,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 5,Reconstruction,has_superstructure_adobe_mud,-7,0
562751,303309001981,30,3011,301101,1,2,6,650,9,18,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
562760,303309002091,30,3011,301101,1,2,1,650,9,18,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
562777,303401000082,30,3002,300206,1,2,1,580,18,18,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,0
562946,303401001671,30,3002,300206,1,2,1,1322,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_rc_engineered,-1,-9
562949,303401001692,30,3002,300206,1,2,5,252,8,16,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,-8
563083,303401002821,30,3002,300206,1,2,1,860,10,20,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-10
563084,303401002831,30,3002,300206,1,2,1,1400,10,20,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-10
563094,303401002931,30,3002,300206,2,3,1,682,20,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-10
563414,303402001861,30,3002,300208,1,2,1,800,16,16,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,0
565619,303407005241,30,3002,300207,1,3,1,550,8,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_engineered,-2,-16
567097,303502004471,30,3009,300904,1,3,2,1200,10,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-2,-20
567162,303502005001,30,3009,300904,1,2,3,1000,10,20,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,-10
568066,303505012741,30,3009,300903,1,2,7,750,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,-9
568352,303505022251,30,3009,300903,1,2,20,675,10,20,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_stone,-1,-10
568841,303505040531,30,3009,300903,2,3,14,1944,27,27,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,0
572303,303702000772,30,3003,300305,1,2,1,720,10,20,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
572457,303702002061,30,3003,300305,2,5,40,260,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-3,0
572536,303702002811,30,3003,300305,2,5,7,260,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
